Country code,Country or area,Sort order,Major area,Code,Sort order,Region,Code,Sort order,Developed region,Least developed country,Sub-Saharan Africa,Small,Origin based on
462,Maldives,104,Asia,935,71,Southern Asia,5501,98,No,No,No,No,I
466,Mali,63,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
470,Malta,162,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
584,Marshall Islands,251,Oceania,909,238,Micronesia,954,248,No,No,No,Yes,E
474,Martinique,198,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
478,Mauritania,64,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
480,Mauritius,17,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
175,Mayotte,18,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
484,Mexico,214,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
583,Micronesia (Federated States of),252,Oceania,909,238,Micronesia,954,248,No,No,No,No,E
492,Monaco,177,Europe,908,127,Western Europe,926,170,Yes,No,No,Yes,E
496,Mongolia,84,Asia,935,71,Eastern Asia,906,78,No,No,No,No,E
499,Montenegro,163,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
500,Montserrat,199,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,Yes,E
504,Morocco,43,Africa,903,7,Northern Africa,912,39,No,No,No,No,I
508,Mozambique,19,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
104,Myanmar,92,Asia,935,71,South-Eastern Asia,920,86,No,Yes,No,No,E
516,Namibia,50,Africa,903,7,Southern Africa,913,47,No,No,Yes,No,E
520,Nauru,253,Oceania,909,238,Micronesia,954,248,No,No,No,Yes,I
524,Nepal,105,Asia,935,71,Southern Asia,5501,98,No,Yes,No,No,E
528,Netherlands,178,Europe,908,127,Western Europe,926,170,Yes,No,No,No,E
540,New Caledonia,244,Oceania,909,238,Melanesia,928,242,No,No,No,No,E
554,New Zealand,241,Oceania,909,238,Australia and New Zealand,927,239,Yes,No,No,No,E
558,Nicaragua,215,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
562,Niger,65,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
